rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.61,990.68,-507.62,39.3,1,q1_q17_dr25_tce,6313,200,-244,4.325,0.153,-0.187,1.098,0.301,-0.201,294.77493,43.592918,14.248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.36,316.06,-337.24,76.3,1,q1_q17_dr25_tce,4727,56,-98,2.497,0.156,-0.096,13.547,2.81,-4.215,294.07938,39.729641,11.356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.14,-0.64,84.1,1,q1_q17_dr25_tce,5555,166,-166,4.502,0.104,-0.127,0.811,0.148,-0.099,298.94366,40.40519,14.178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4662.2,4226.73,-1634.94,157.1,1,q1_q17_dr25_tce,6220,169,-225,4.398,0.09,-0.195,1.056,0.326,-0.14,298.49451,40.733608,14.445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.75,2161.97,-943.67,25.8,1,q1_q17_dr25_tce,6438,181,-227,4.33,0.108,-0.201,1.166,0.357,-0.192,288.86737,39.264961,10.762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.91,644.57,-335.2,89.7,,,5048,172,-144,4.571,0.063,-0.083,0.707,0.108,-0.067,281.7446,44.16964,16.055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2739.59,4244.63,-995.63,164.5,,,5400,200,-161,4.382,0.142,-0.308,0.978,0.474,-0.149,297.20352,41.228909,15.044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432.21,1102.78,-479.51,241,1,q1_q17_dr25_tce,5455,191,-172,4.458,0.104,-0.156,0.897,0.217,-0.117,293.76782,46.237591,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.91,49.01,-38.6,83.1,1,q1_q17_dr25_tce,4577,162,-162,4.688,0.052,-0.032,0.557,0.043,-0.043,297.75845,41.513641,15.927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.08,0,0,204.9,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,288.44485,41.172604,17.066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.9,98.11,-74.91,639.8,1,q1_q17_dr25_tce,5642,186,-169,4.114,0.357,-0.153,1.415,0.38,-0.507,298.67557,44.175732,15.879
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885.11,4792.2,-3602.81,1215.2,1,q1_q17_dr25_tce,5510,219,-197,3.641,0.904,-0.226,2.649,1.013,-1.881,300.33557,44.986271,16.304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.19,238.91,-130.56,250.9,1,q1_q17_dr25_tce,6366,176,-242,4.239,0.18,-0.18,1.296,0.373,-0.271,295.19583,42.418911,16.798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.44,0,0,274.2,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,300.87231,44.144318,17.687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7027.09,2437.78,-5901.49,56.4,1,q1_q17_dr25_tce,7358,203,-330,3.538,0.58,-0.061,4.037,0.4,-2.266,287.80722,43.188782,12.252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.52,95.83,-34.52,143.2,2,q1_q17_dr25_tce,5662,186,-186,4.575,0.04,-0.16,0.805,0.192,-0.069,300.41293,46.380669,15.933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,q1_q17_dr25_tce,,,,,,,,,,300.41293,46.380669,15.933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4439.53,0,0,334.3,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,298.25992,48.218964,18.792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.52,219.1,-129.89,284,1,q1_q17_dr25_tce,4628,162,-162,4.651,0.024,-0.056,0.653,0.072,-0.044,299.17062,40.871059,15.926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25506.22,18365.12,-19376.75,94.5,1,q1_q17_dr25_tce,5596,168,-201,3.48,0.336,-0.12,3.938,0.93,-1.861,295.74759,42.40163,12.439
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683.57,2486.11,-834.54,551.7,1,q1_q17_dr25_tce,6247,198,-242,4.489,0.052,-0.208,0.954,0.29,-0.097,292.80579,44.23605,15.524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12930.1,8251,-8701.88,463.4,2,q1_q17_dr25_tce,7479,235,-314,3.919,0.308,-0.132,2.324,0.472,-0.876,283.0437,47.80463,12.796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.12,81.37,-71.73,751.1,1,q1_q17_dr25_tce,5145,179,-179,3.466,0.623,-0.208,3.866,1.169,-2.17,291.90335,38.925861,13.939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558.96,2219.69,-899.75,118.6,1,q1_q17_dr25_tce,6397,151,-207,4.331,0.105,-0.195,1.157,0.352,-0.162,294.95724,45.405151,13.593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.51,22.15,-22.05,166.8,1,q1_q17_dr25_tce,3644,40,-51,4.871,0.033,-0.033,0.389,0.028,-0.031,283.7504,41.08601,16.758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.51,24.34,-10.19,9.3,1,q1_q17_dr25_tce,6520,158,-270,4.375,0.062,-0.188,1.215,0.362,-0.155,292.40063,38.134579,15.923
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,0.85,-0.77,69.1,1,q1_q17_dr25_tce,5631,84,-67,4.212,0.188,-0.101,1.263,0.2,-0.245,286.15311,39.714901,13.906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.08,-0.07,25.2,2,q1_q17_dr25_tce,4243,84,-84,4.637,0.027,-0.02,0.641,0.025,-0.03,295.25116,45.842972,15.561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.2,345.29,-124.03,42.2,1,q1_q17_dr25_tce,5562,169,-152,4.601,0.034,-0.136,0.756,0.158,-0.056,296.05884,39.613579,14.811
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.38,1723.64,-601.05,37.4,1,q1_q17_dr25_tce,6384,179,-246,4.419,0.067,-0.202,1.086,0.347,-0.124,293.84235,49.66206,15.546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11089.75,4895.01,-5481.83,103.6,1,q1_q17_dr25_tce,4694,69,-126,2.564,0.027,-0.027,12.701,2.109,-3.164,301.0473,45.087631,9.837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.03,738.65,-283.59,9.7,1,q1_q17_dr25_tce,5520,166,-166,4.572,0.038,-0.161,0.818,0.188,-0.075,286.43134,42.098339,15.627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761.35,2567.19,-939.96,32,1,q1_q17_dr25_tce,6140,170,-191,4.394,0.101,-0.203,1.053,0.332,-0.142,299.51083,40.474548,13.482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692.16,3147.75,-2442.77,367.3,1,q1_q17_dr25_tce,5299,211,-190,3.672,0.818,-0.273,2.761,1,-1.857,298.88235,41.66333,17.357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.45,0,0,243.2,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,296.06036,39.615211,17.388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.06,159.3,-148.42,10.5,2,q1_q17_dr25_tce,6642,105,-157,4.057,0.174,-0.116,1.846,0.326,-0.399,295.93347,40.300571,12.345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.43,15.77,-18.1,129.5,1,q1_q17_dr25_tce,3979,71,-79,4.699,0.042,-0.018,0.544,0.026,-0.039,291.8819,37.18911,15.625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.35,191.58,-101.87,3361.5,1,q1_q17_dr25_tce,5146,170,-139,3.986,0.581,-0.249,1.626,0.791,-0.87,290.73944,38.414139,13.391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.9,589.45,-221.47,617.7,1,q1_q17_dr25_tce,5977,188,-209,4.472,0.081,-0.189,0.931,0.277,-0.119,296.43033,39.443489,16.943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.26,-0.44,100.4,1,q1_q17_dr25_tce,5704,152,-169,4.575,0.04,-0.16,0.804,0.194,-0.065,293.15765,40.262711,15.549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.19,0,0,154,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,294.48807,46.334099,17.481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.2,698.44,-467.13,9.3,3,q1_q17_dr25_tce,5700,114,-114,4.327,0.103,-0.115,1.176,0.182,-0.149,288.64627,50.788979,13.351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.99,455.09,-509.16,366.4,1,q1_q17_dr25_tce,6327,154,-173,3.84,0.285,-0.095,2.433,0.461,-0.856,292.58875,47.393799,13.211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.48,402.75,-234.75,177.9,1,q1_q17_dr25_tce,6572,181,-227,4.208,0.175,-0.175,1.418,0.402,-0.329,292.7337,37.559311,17.637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2653.37,1715.61,-818.36,231.7,1,q1_q17_dr25_tce,5441,189,-189,4.553,0.059,-0.119,0.791,0.157,-0.085,292.13733,38.602348,16.639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79,7.72,-6.92,90.4,1,q1_q17_dr25_tce,5770,159,-130,3.946,0.315,-0.135,1.685,0.368,-0.552,286.69733,42.45116,11.241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563.99,2633.55,-935.82,123.1,1,q1_q17_dr25_tce,6505,179,-246,4.342,0.087,-0.203,1.228,0.428,-0.171,298.22964,41.459839,14.026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.41,636.46,-251.08,81.6,1,q1_q17_dr25_tce,6586,164,-258,4.361,0.07,-0.21,1.207,0.391,-0.168,297.94922,40.530708,14.113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7394.55,7123.11,-6794.35,71.9,1,q1_q17_dr25_tce,5122,106,-212,2.886,0.585,-0.195,9.828,3.39,-6.781,293.0748,38.16972,12.861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,0.27,-0.23,12.6,2,q1_q17_dr24_tce,4932,145,-148,4.777,0.04,-0.027,0.492,0.026,-0.027,293.05801,45.248821,15.801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.49,438.63,-143.72,10.9,1,q1_q17_dr25_tce,6161,193,-258,4.454,0.054,-0.229,1.053,0.357,-0.119,286.50876,41.922741,15.432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.42,543.24,-417.66,67.3,1,q1_q17_dr25_tce,5319,159,-159,4.548,0.096,-0.064,0.734,0.084,-0.084,299.78207,44.19981,15.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.03,-0.33,38.7,1,q1_q17_dr25_tce,5869,147,-161,4.528,0.037,-0.213,0.892,0.261,-0.087,292.61954,48.081478,13.608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.47,13.17,-31.27,98.9,1,q1_q17_dr25_tce,4991,86,-135,2.933,0.03,-0.03,7.506,0.415,-1.661,293.77213,44.63847,13.226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.05,333.38,-155.62,33.7,1,q1_q17_dr25_tce,5705,103,-125,4.444,0.04,-0.128,1.026,0.159,-0.068,290.55951,49.943008,12.737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.48,177.62,-103.01,254.8,1,q1_q17_dr25_tce,5802,191,-191,4.492,0.13,-0.13,0.794,0.143,-0.104,297.64441,43.632172,15.286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.11,128.71,-55.62,472.3,1,q1_q17_dr25_tce,6289,197,-241,4.33,0.124,-0.186,1.142,0.353,-0.19,291.05017,51.321751,17.427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.47,-0.2,696,1,q1_q17_dr25_tce,5725,102,-113,4.506,0.038,-0.113,0.913,0.133,-0.048,289.76361,51.962601,12.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750.37,2329.71,-1029.17,3176.9,1,q1_q17_dr25_tce,6569,157,-196,4.281,0.128,-0.176,1.235,0.366,-0.197,297.42035,39.775108,13.244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.88,0,0,247,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,288.02426,43.545841,16.328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.35,890.73,-569.09,855.4,1,q1_q17_dr25_tce,5516,230,-192,3.765,0.772,-0.257,2.178,0.92,-1.379,298.99731,43.398861,15.994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17,0,0,252.4,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,299.01227,40.660034,17.518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29070.1,22991.7,-23811.01,1598.3,1,q1_q17_dr25_tce,8796,242,-380,3.711,0.519,-0.122,3.278,0.877,-1.755,290.01151,48.244202,14.467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094.25,4930.11,-1615.38,2065.8,1,q1_q17_dr25_tce,6025,190,-232,4.472,0.052,-0.208,0.999,0.318,-0.106,298.5304,40.39846,15.168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.98,1560.99,-932.24,262.4,1,q1_q17_dr25_tce,6432,155,-214,4.207,0.19,-0.171,1.345,0.382,-0.313,300.33237,44.986141,13.306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.97,114.68,-68.48,6.6,4,q1_q17_dr25_tce,6432,155,-214,4.207,0.19,-0.171,1.345,0.382,-0.313,300.33237,44.986141,13.306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3627.17,3136.17,-1284.87,1475.4,1,q1_q17_dr25_tce,6690,185,-278,4.375,0.062,-0.175,1.174,0.344,-0.147,299.37808,40.757359,14.964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.55,15.07,-14.48,74.1,1,q1_q17_dr25_tce,4401,154,-170,4.621,0.053,-0.025,0.645,0.046,-0.063,298.80362,44.4174,15.466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,2.97,-1.67,328,1,q1_q17_dr25_tce,5611,100,-112,4.388,0.08,-0.12,1.073,0.173,-0.106,288.97165,44.624531,12.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.72,482.11,-326.51,43.1,1,q1_q17_dr25_tce,6422,77,-77,4.249,0.126,-0.115,1.295,0.216,-0.177,290.33813,44.60387,11.826
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,4.75,-1.83,38.9,1,q1_q17_dr25_tce,5649,169,-152,4.633,0.03,-0.112,0.705,0.123,-0.044,292.17706,44.786598,15.024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.59,94.29,-47.23,26.1,1,q1_q17_dr25_tce,5940,158,-193,4.3,0.158,-0.193,1.191,0.357,-0.238,300.39197,44.780041,13.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.97,1053.25,-346.37,69.4,1,q1_q17_dr25_tce,6338,153,-210,4.418,0.067,-0.216,1.091,0.353,-0.118,294.39557,50.719589,14.651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.72,171.3,-54.95,20.7,1,q1_q17_dr25_tce,6347,170,-207,4.464,0.054,-0.216,0.996,0.319,-0.106,297.33582,46.15099,14.685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.82,931.37,-343.82,9.2,1,q1_q17_dr25_tce,6470,177,-243,4.301,0.09,-0.21,1.324,0.461,-0.197,291.96689,47.698456,12.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.7,1334.19,-816.37,19.2,1,q1_q17_dr25_tce,6184,190,-253,4.151,0.22,-0.18,1.579,0.459,-0.413,299.26431,47.491791,12.618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.17,368.99,-126.55,13.2,1,q1_q17_dr25_tce,5910,159,-177,4.578,0.044,-0.187,0.796,0.206,-0.069,294.74448,41.749962,15.413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.91049,48.431641,14.706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.29456,45.56461,14.688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.31,201.47,-149.77,273.8,1,q1_q17_dr25_tce,4769,171,-171,4.673,0.052,-0.032,0.578,0.046,-0.041,294.3541,46.840851,16.948
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83,5.28,-5.64,58.8,1,q1_q17_dr25_tce,4594,138,-138,4.58,0.042,-0.028,0.743,0.031,-0.053,297.61902,40.568062,14.652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,2.29,-1.4,28,1,q1_q17_dr25_tce,6014,108,-133,4.362,0.084,-0.116,1.115,0.18,-0.12,286.61371,38.891972,14.208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.88,45.2,-15.17,55.7,1,q1_q17_dr25_tce,5645,169,-169,4.569,0.042,-0.168,0.817,0.207,-0.069,297.64737,40.536461,15.604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.88,45.2,-15.17,47.8,2,q1_q17_dr25_tce,5645,169,-169,4.569,0.042,-0.168,0.817,0.207,-0.069,297.64737,40.536461,15.604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5205.91,4263.06,-1489.04,32.6,1,q1_q17_dr25_tce,6469,154,-193,4.385,0.06,-0.18,1.193,0.342,-0.122,291.01971,40.177589,14.479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18136.88,11462.94,-11137.21,277.9,1,q1_q17_dr25_tce,5500,83,-83,3.491,0.254,-0.117,3.899,0.935,-1.402,293.20209,40.170921,12.989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.86,99.21,-31.74,28.8,1,q1_q17_dr25_tce,6058,164,-201,4.54,0.037,-0.212,0.867,0.262,-0.082,293.1416,40.262299,14.694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.79,155.88,-63.12,17.9,1,q1_q17_dr25_tce,6323,174,-261,4.418,0.062,-0.188,1.093,0.329,-0.141,291.12006,40.333988,14.572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597.27,1166.42,-977.2,21.3,1,q1_q17_dr25_tce,5897,105,-117,4.25,0.156,-0.104,1.259,0.204,-0.224,294.11307,40.362968,13.522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.03,31.02,-12.49,268.5,1,q1_q17_dr25_tce,5468,164,-164,4.505,0.053,-0.158,0.88,0.198,-0.085,287.2106,44.849129,15.596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.85,76.43,-36.54,31.3,1,q1_q17_dr25_tce,5500,166,-166,4.416,0.124,-0.171,0.928,0.239,-0.147,296.75296,45.0411,14.943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.93,-0.68,70.5,1,q1_q17_dr25_tce,4796,172,-172,4.656,0.054,-0.036,0.598,0.052,-0.047,294.35666,45.192959,15.943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.12,241.26,-107.21,8.5,1,q1_q17_dr25_tce,5783,155,-172,4.418,0.12,-0.18,0.962,0.259,-0.139,299.14664,43.459831,14.877
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.83,11.18,-7.63,29.9,1,q1_q17_dr25_tce,5283,157,-157,4.594,0.065,-0.058,0.695,0.081,-0.066,297.91864,45.347061,14.733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16718.87,6840.23,-11056.9,18.3,1,q1_q17_dr25_tce,6689,179,-219,3.594,0.336,-0.084,3.381,0.426,-1.278,299.87238,45.499592,13.027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.94,481.19,-183.31,16,1,q1_q17_dr25_tce,5751,173,-173,4.577,0.05,-0.15,0.774,0.181,-0.072,295.841,47.681889,15.047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,3.06,-0.64,8.7,,,6372,177,-244,4.375,0.079,-0.3,1.112,0.569,-0.126,295.03903,43.95454,15.487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.69742,39.036388,15.206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.74,389.07,-178.09,22.1,1,q1_q17_dr25_tce,5516,166,-166,4.466,0.1,-0.15,0.872,0.196,-0.105,298.84979,44.615009,14.874
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.90765,40.278831,15.725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.84,-0.38,6.7,,,5914,161,-162,4.563,0.03,-0.276,0.828,0.32,-0.063,294.53214,43.75441,15.075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.07,98.17,-52.11,30.1,1,q1_q17_dr25_tce,5058,184,-163,4.61,0.027,-0.082,0.739,0.097,-0.057,296.28696,44.022671,15.936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.74,392.49,-468.44,12.3,2,q1_q17_dr25_tce,5343,85,-74,3.764,0.238,-0.102,2.506,0.468,-0.87,297.65143,40.352551,13.052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6218.56,4985.68,-1977.91,27.2,1,q1_q17_dr25_tce,6355,172,-211,4.418,0.06,-0.18,1.09,0.297,-0.127,298.52603,40.612091,15.145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29,1.56,-1.73,35.5,1,q1_q17_dr25_tce,3995,53,-59,4.694,0.026,-0.014,0.555,0.019,-0.025,295.11502,45.96648,14.651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.28,-0.32,23.8,1,q1_q16_tce,6074,150,-176,4.466,0.055,-0.281,0.965,0.377,-0.096,279.85272,43.664459,14.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6356.72,6311.03,-1791.64,58.4,1,q1_q17_dr25_tce,5997,169,-211,4.483,0.056,-0.224,0.993,0.333,-0.089,296.0878,41.316841,14.568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.43,885.12,-336.16,20.7,1,q1_q17_dr25_tce,6067,190,-232,4.433,0.087,-0.203,0.997,0.309,-0.133,290.73367,40.43116,15.429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254.52,998.46,-570.02,27.1,1,q1_q17_dr25_tce,6038,180,-180,4.34,0.225,-0.184,0.971,0.256,-0.209,290.2442,40.559269,14.845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710.89,854.92,-1351.49,66.7,1,q1_q17_dr25_tce,5959,80,-80,3.829,0.21,-0.07,2.382,0.278,-0.649,290.33612,40.653061,12.936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.01,695.76,-747.37,339.2,1,q1_q17_dr25_tce,5716,77,-77,3.963,0.217,-0.093,1.76,0.291,-0.437,289.81805,40.723919,12.678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850.1,4340.1,-1685.16,73,1,q1_q17_dr25_tce,6174,193,-236,4.455,0.052,-0.195,1.026,0.302,-0.13,290.51105,40.708569,15.932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2734.97,2358.69,-1051.01,99.2,1,q1_q17_dr25_tce,5833,162,-203,4.333,0.124,-0.201,1.192,0.348,-0.188,299.97183,45.809738,14.914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.18,196.61,-115.18,36.6,1,q1_q17_dr25_tce,6484,147,-196,4.36,0.104,-0.138,1.093,0.217,-0.145,293.38184,46.098701,12.197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,444.95,-168.38,607.2,1,q1_q17_dr25_tce,6214,169,-206,4.391,0.087,-0.203,1.061,0.326,-0.14,292.65988,46.159538,14.417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,8.46,-3.14,9.8,1,q1_q17_dr25_tce,5828,182,-203,4.462,0.05,-0.2,1.028,0.289,-0.116,295.79788,43.570389,15.978
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.18,728.36,-386.59,304.1,1,q1_q17_dr25_tce,5472,163,-163,4.573,0.06,-0.097,0.742,0.118,-0.069,284.9671,46.27626,15.933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.01,33.36,-38.44,20,1,q1_q17_dr25_tce,4491,134,-147,4.58,0.06,-0.02,0.711,0.034,-0.062,300.41727,46.335991,15.772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.02,166.25,-107.82,23.3,1,q1_q17_dr25_tce,5080,184,-163,4.538,0.065,-0.065,0.793,0.089,-0.073,291.88126,44.555729,15.938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.25,1109.5,-446.15,49.1,1,q1_q17_dr25_tce,5553,149,-166,4.577,0.034,-0.136,0.806,0.176,-0.07,292.77484,47.451099,15.239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.82733,47.446861,14.922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088.43,3876.23,-1460.79,57.2,1,q1_q17_dr25_tce,5529,166,-150,4.471,0.062,-0.175,0.936,0.235,-0.101,293.97278,50.645142,14.672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.56,612.65,-774,20.2,1,q1_q17_dr25_tce,6541,166,-182,3.778,0.315,-0.084,2.43,0.399,-0.865,298.74857,46.68047,13.124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.40686,51.35815,14.313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.55,123.96,-120.75,33.4,1,q1_q17_dr25_tce,3993,79,-89,4.696,0.052,-0.028,0.554,0.046,-0.056,298.92639,44.00219,15.745
